pdb_id,lig_id,resolution,release_year,target,prot_path,lig_path,pocket_path,source,tar_path,archive_path,score_file
3l7b,DKZ,2.0,2010,2.4,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/crystal/3l7b_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/crystal/3l7b_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/crystal/3l7b_pocket.pdb,gnina,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/gnina/3l7b_POSE.pdb.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/gnina/score.sc
3l7b,DKZ,2.0,2010,2.4,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/crystal/3l7b_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/crystal/3l7b_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/crystal/3l7b_pocket.pdb,rosetta,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/rosetta/3l7b_POSE.pdb.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/rosetta/score.sc
3l7b,DKZ,2.0,2010,2.4,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/crystal/3l7b_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/crystal/3l7b_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/crystal/3l7b_pocket.pdb,boltz2,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/boltz.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/boltz/3l7b_boltz2_model_0.cif,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/boltz/affinity_3l7b_boltz2.json
3gr2,GF4,1.8,2009,2.52,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/crystal/3gr2_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/crystal/3gr2_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/crystal/3gr2_pocket.pdb,gnina,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/gnina/3gr2_POSE.pdb.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/gnina/score.sc
3gr2,GF4,1.8,2009,2.52,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/crystal/3gr2_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/crystal/3gr2_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/crystal/3gr2_pocket.pdb,rosetta,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/rosetta/3gr2_POSE.pdb.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/rosetta/score.sc
3gr2,GF4,1.8,2009,2.52,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/crystal/3gr2_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/crystal/3gr2_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/crystal/3gr2_pocket.pdb,boltz2,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/boltz.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/boltz/3gr2_boltz2_model_0.cif,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/boltz/affinity_3gr2_boltz2.json
5a7b,KMN,1.4,2015,3.57,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/crystal/5a7b_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/crystal/5a7b_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/crystal/5a7b_pocket.pdb,gnina,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/gnina/5a7b_POSE.pdb.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/gnina/score.sc
5a7b,KMN,1.4,2015,3.57,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/crystal/5a7b_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/crystal/5a7b_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/crystal/5a7b_pocket.pdb,rosetta,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/rosetta/5a7b_POSE.pdb.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/rosetta/score.sc
5a7b,KMN,1.4,2015,3.57,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/crystal/5a7b_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/crystal/5a7b_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/crystal/5a7b_pocket.pdb,boltz2,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/boltz.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/boltz/5a7b_boltz2_model_0.cif,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/boltz/affinity_5a7b_boltz2.json
4ih5,12R,1.9,2013,4.11,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ih5/crystal/4ih5_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ih5/crystal/4ih5_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ih5/crystal/4ih5_pocket.pdb,gnina,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ih5/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ih5/gnina/4ih5_POSE.pdb.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ih5/gnina/score.sc
